//Contient la carte de montage de toutes les lumieres de l'environnement "Bar"
//4(1) = port 4 de la carte numéro 1
//Nom_projecteur  |   Type            |  addr relais|     Addresse triac    | Addresse Bluetooth 
//                |                   |             |                       |                   
  poutre_table    |     projo_A73     |     4(2)    |       5(2)            |  
  projo_14        |     projo_A61     |             |          1(3)         |
  projo_15        |     projo_A61     |             |          1(4)         |
  projo_16        |     projo_A63     |             |          2(4)         |
  projo_17        |     projo_A64     |             |          3(4)         |
