//Contient la carte de montage de toutes les lumieres de l'environnement "Salon"
//4(1) = port 4 de la carte numéro 1
//Nom_projecteur        |   Type            |  addr relais |     Addresse triac    | Addresse Bluetooth 
//                      |                   |              |                       |                   
    projo_1             |     projo_A200    |              |          1(1)         |
    projo_2             |     projo_A200    |              |          2(1)         |
    projo_blanc_bois    |     projo_A200    |              |          5(1)         |
    projo_blanc_pierre  |     projo_A200    |              |          6(1)         |
